NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
4732,5,6000.0,0.0,0.0,1200.0,0,7200.0,0.0,80500.0,0.0,0,2300,1950,54,1
5416,2,24700.0,1500.0,0.0,41.486165,0,10200.0,16041.48617,3000.0,5000.0,0,10000,1958,46,1
5416,2,24700.0,1500.0,0.0,41.486165,0,10200.0,16041.48617,3000.0,5000.0,0,10000,1979,25,1
5416,2,24700.0,1500.0,0.0,41.486165,0,10200.0,16041.48617,3000.0,5000.0,0,10000,1981,23,1
5416,2,24700.0,1500.0,0.0,41.486165,0,10200.0,16041.48617,3000.0,5000.0,0,10000,1991,13,3
7097,3,15600.0,0.0,4500.0,6024.891699,0,21600.0,4524.891699,55000.0,3000.0,0,20000,1954,50,3
7097,3,15600.0,0.0,4500.0,6024.891699,0,21600.0,4524.891699,55000.0,3000.0,0,20000,1957,47,1
7097,3,15600.0,0.0,4500.0,6024.891699,0,21600.0,4524.891699,55000.0,3000.0,0,20000,1979,25,2
7097,3,15600.0,0.0,4500.0,6024.891699,0,21600.0,4524.891699,55000.0,3000.0,0,20000,1986,18,3
7098,3,0.0,11180.0,15000.0,7410.777699,0,19200.0,14390.7777,133000.0,9000.0,6000,15000,1942,62,2
7098,3,0.0,11180.0,15000.0,7410.777699,0,19200.0,14390.7777,133000.0,9000.0,6000,15000,1971,33,3
7165,1,15700.0,8000.0,0.0,4841.486165,0,28800.0,-258.513835,253000.0,5000.0,0,11500,1956,48,3
7165,1,15700.0,8000.0,0.0,4841.486165,0,28800.0,-258.513835,253000.0,5000.0,0,11500,1956,48,1
7165,1,15700.0,8000.0,0.0,4841.486165,0,28800.0,-258.513835,253000.0,5000.0,0,11500,1980,24,1
7886,3,30000.0,0.0,0.0,12439.97525,1300,42000.0,-860.024748,454000.0,35803.2033,0,28000,1950,54,1
7886,3,30000.0,0.0,0.0,12439.97525,1300,42000.0,-860.024748,454000.0,35803.2033,0,28000,1953,51,3
8332,4,0.0,7800.0,0.0,58.080631,0,7200.0,658.080631,2000.0,7000.0,0,6000,1920,84,3
8954,4,42300.0,0.0,0.0,18576.48364,0,42500.0,18376.48364,790000.0,2300.0,20000,38000,1957,47,1
8954,4,42300.0,0.0,0.0,18576.48364,0,42500.0,18376.48364,790000.0,2300.0,20000,38000,1957,47,1
8954,4,42300.0,0.0,0.0,18576.48364,0,42500.0,18376.48364,790000.0,2300.0,20000,38000,1986,18,3
8954,4,42300.0,0.0,0.0,18576.48364,0,42500.0,18376.48364,790000.0,2300.0,20000,38000,1994,10,3
8955,4,0.0,15600.0,0.0,10444.39173,0,21600.0,4444.391726,415000.0,101767.8696,0,12000,1927,77,3
11940,1,0.0,23205.0,0.0,6258.080631,6900,20600.0,1963.080631,177000.0,7000.0,0,17000,1941,63,3
11940,1,0.0,23205.0,0.0,6258.080631,6900,20600.0,1963.080631,177000.0,7000.0,0,17000,1946,58,3
11972,4,0.0,11700.0,10000.0,7300.0,0,13300.0,15700.0,553000.0,0.0,10000,25000,1938,66,3
